"Subject area","Title","Class code","Start date","End date","Start time","End time","Cost","Duration (days)","Tutor","Venue","Link to Course specifiation","Course description","Credits attached","Language- Level of Study links"
"Archaeology Classical Studies and Egyptology","Ancient Egypt and the Bible","9248","17/01/2019","21/03/2019","19/01/1900","21.00","125.00","64","Judit  Blair","University of Glasgow- Building will be confirmed by email three days before the start date. Room number will be listed at reception on the day/evening of the class","http://www.gla.ac.uk/coursecatalogue/course/?code=ADED11520E","Christian thinking has been greatly influenced by ancient traditions. According to the Bible, throughout history there had always been a contact between the Egyptians and the Israelites. Indeed, Egyptology in the 19th century was mainly concerned with discovering cultural records and thus evidence for certain biblical events. Without intending to prove or disprove the historicity of biblical events or characters, this course looks at similar themes in the religions of ancient Egypt and Israel, as well as key figures using the latest discoveries in the field. 
 This course is also available as an online option (course materials and tutor support via Moodle).","10","N/A"
"Archaeology Classical Studies and Egyptology","Archaeology of Medieval and Post Medieval Scotland","1123","15/01/2019","19/03/2019","19/01/1900","21.00","240.00","64","Louisa Campbell","University of Glasgow- Building will be confirmed by email three days before the start date. Room number will be listed at reception on the day/evening of the class","http://www.gla.ac.uk/coursecatalogue/course/?code=ADED11516E","This course introduces the students to the archaeology of Scotland, covering through classroom based lectures, in chronological order but also by means of various thematic topics: the early historic period, the medieval period, the
 post-medieval period, the industrial era and the early modern period. Field trip classes will be scheduled for 
 two Saturdays between January and March.","20","N/A"
"Archaeology Classical Studies and Egyptology","Archaeology of Prehistoric and Roman Scotland","11771","25/09/2018","27/11/2018","19/01/1900","21.00","240.00","64","Louisa  Campbell","University of Glasgow- Building will be confirmed by email three days before the start date. Room number will be listed at reception on the day/evening of the class","http://www.gla.ac.uk/coursecatalogue/course/?code=ADED11515E","This course introduces students to the archaeology of Scotland, covering through classroom-based lectures, in chronological order but also by means of various thematic topics: the Mesolithic period, the Neolithic period, the 
 Bronze Age, the Iron Age and the Roman invasion and occupation of northern Britain. Field trip classes will be 
 scheduled for two Saturdays between October and December.","20","N/A"
"Archaeology Classical Studies and Egyptology","Classical Roman civilization 1A","1513","26/09/2018","28/11/2018","19/01/1900","21.00","125.00","64","Zara Chadha","University of Glasgow- Building will be confirmed by email three days before the start date. Room number will be listed at reception on the day/evening of the class","http://www.gla.ac.uk/coursecatalogue/course/?code=ADED11521E","This course introduces Classical Roman history, literature, and culture, with a focus on the age of Augustus, the period during which Rome transitioned from a Republic to a Principate and rule under one man. The course will provide a solid foundation for the study of the subject at a higher level by introducing students to the skills and methods involved in investigating the Classical Roman world through topics including religion, women, and art. It will also provide the opportunity for useful background study for those whose principle area of study will lie elsewhere.","10","N/A"
"Archaeology Classical Studies and Egyptology","Gender and sexuality in the Classical world","8551","18/02/2019","22/02/2019","14/01/1900","16.00","62.50","5","Zara Chadha","University of Glasgow- Building will be confirmed by email three days before the start date. Room number will be listed at reception on the day/evening of the class","http://www.gla.ac.uk/coursecatalogue/course/?code=ADED11504","This course explores ancient Roman ideas of gender and sexuality and their impact on Roman culture and society – focusing on topics including marriage, religion, and prostitution - by examining a variety of primary sources in light of modern theoretical approaches to these concepts.","0","N/A"
"Archaeology Classical Studies and Egyptology","Magic in ancient Greece and Rome","13266","29/10/2018","26/11/2018","14/01/1900","16.00","62.50","29","Zara Chadha","University of Glasgow- Building will be confirmed by email three days before the start date. Room number will be listed at reception on the day/evening of the class","http://www.gla.ac.uk/coursecatalogue/course/?code=ADED11505","This course places Greco-Roman magic practice in its social and historical contexts, considering its relationship to religion, its social and psychological dimensions, and the similarities and differences between magic practices and their representations in literature, most prominently the figure of the witch.","0","N/A"
"Archaeology Classical Studies and Egyptology","Understanding the Art of Ancient Mesopotamia: Gods, Animals, and Individuals","2791","02/03/2019","02/03/2019","10/01/1900","16.00","40.00","1","Paul Collins","University of Glasgow- Building will be confirmed by email three days before the start date. Room number will be listed at reception on the day/evening of the class","N/A","The citizens of ancient Mesopotamia (modern Iraq) developed very distinctive ways of representing both their physical and divine worlds. Using some of the region's most celebrated objects from between 3000-500 BC, the course will provide insight and allow for discussion around their ancient roles and meaning.  ","0","N/A"
"Archaeology Classical Studies and Egyptology","Continuing Latin","14278","25/09/2018","12/03/2019","14/01/1900","16.00","240.00","169","Sarah Wolstencroft","University of Glasgow- Building will be confirmed by email three days before the start date. Room number will be listed at reception on the day/evening of the class","http://www.gla.ac.uk/coursecatalogue/course/?code=ADED11208E","This course allows students with basic Latin knowledge to extend their knowledge of the grammar of the language and experience of reading Latin passages. The class will progress from reading passages written for language tuition, on to simplified versions of real Latin texts. This course can be taken online; students will be expected to attend class on the date of the class test.","20","N/A"
"Archaeology Classical Studies and Egyptology","Introduction to Latin","1349","25/09/2018","12/03/2019","19/01/1900","21.00","240.00","169","Michelle Craig","University of Glasgow- Building will be confirmed by email three days before the start date. Room number will be listed at reception on the day/evening of the class","http://www.gla.ac.uk/coursecatalogue/course/?code=ADED1056E","This course is designed for total beginners in Latin and will introduce the main features of the Latin language over the session. An ability to read and understand Latin is the principal aim, but an understanding of the grammar and structure will be an important adjunct. The course book is GDA Sharpley, Teach Yourself: Get Started in Latin (4th ed.), ISBN: 978-1-4441-7478-6 (only the book is necessary, not the accompanying CD) and additional material will be provided where appropriate. This course can be taken online; students will be expected to attend class on the date of the class test.","20","N/A"
"Archaeology Classical Studies and Egyptology","Ancient Medicine: Theory and Practice","8215","26/01/2019","26/01/2019","10/01/1900","16.00","40.00","1","Jane Draycott","University of Glasgow- Building will be confirmed by email three days before the start date. Room number will be listed at reception on the day/evening of the class","N/A","This course will use a range of literary, documentary, archaeological, and bioarchaeological evidence to examine the workings of ancient Greek and Roman medicine.","0","N/A"
"Archaeology Classical Studies and Egyptology","Cleopatra: Queen of Egypt","2580","24/11/2018","24/11/2018","10/01/1900","16.00","40.00","1","Jane Draycott","University of Glasgow- Building will be confirmed by email three days before the start date. Room number will be listed at reception on the day/evening of the class","N/A","This course will use a range of literary, documentary, and archaeological evidence to examine the life and death of Cleopatra VII, the last Queen/Pharaoh of Egypt, and explore the way that Cleopatra has been depicted in popular culture in the 20th and 21st centuries.","0","N/A"
"Archaeology Classical Studies and Egyptology","Introduction to the Ancient Near East","6414","17/04/2019","19/06/2019","19/01/1900","21.00","125.00","64","Claire Gilmour","University of Glasgow- Building will be confirmed by email three days before the start date. Room number will be listed at reception on the day/evening of the class","http://www.gla.ac.uk/coursecatalogue/course/?code=ADED11204E","The Ancient Near East, stretching from ancient Anatolia in the north and Mesopotamia in the south, was a dynamic patchwork of neighbouring cities and empires, often at odds, but also trading goods and ideas with one another. Drawing on archaeology, religion and art, this course (which can be taken online) introduces students to the cultural, social and historical landscapes of the Ancient Near East (from c. 7000 – c. 600 BC), charting the rise and fall of its rich and turbulent powers.","10","N/A"
"Archaeology Classical Studies and Egyptology","Life and Culture in Ancient Egypt","5205","26/09/2018","13/03/2019","19/01/1900","21.00","480.00","169","Claire Gilmour","University of Glasgow- Building will be confirmed by email three days before the start date. Room number will be listed at reception on the day/evening of the class","http://www.gla.ac.uk/coursecatalogue/course/?code=ADED2017E","This course (which can be taken online) explores in detail key issues of historical and cultural importance in ancient Egypt covered only briefly at level one. We move from developments in kingship to an overview of the mechanics of administrating Egypt, meeting some of Egypt’s most powerful officials and covering topics like diplomatic relations with the outside world and the internal legal system. We continue by delving into the personal and religious lives and experiences of the working populace, and will make use of local Egyptological collections to explore the topics we’re covering. This course can be taken online; students will be expected to attend class on the date of the class test.","40","N/A"
"Archaeology Classical Studies and Egyptology","Introduction to Ancient Egypt 1A","5862","27/09/2018","29/11/2018","19/01/1900","21.00","125.00","64","William Manley","University of Glasgow- Building will be confirmed by email three days before the start date. Room number will be listed at reception on the day/evening of the class","http://www.gla.ac.uk/coursecatalogue/course/?code=ADED1052E","This course covers the background necessary for students to read and write confidently about the history and social life of the Ancient Egyptians from earliest history until the New Kingdom, c.3100-1500 BC. Students will learn about politics, religion and the rule of the Pharaohs in Egypt at this time, and also about the wider history of the ancient world as revealed through Egypt’s interaction with other nations.","10","N/A"
"Archaeology Classical Studies and Egyptology","Introduction to Ancient Egypt 1B","6932","17/01/2019","21/03/2019","19/01/1900","21.00","125.00","64","William Manley","University of Glasgow- Building will be confirmed by email three days before the start date. Room number will be listed at reception on the day/evening of the class","http://www.gla.ac.uk/coursecatalogue/course/?code=ADED1053E","This course follows on chronologically from Introduction to Ancient Egypt 1A, but can be taken independently of that course. It covers the background necessary for students to read and write confidently about the history and social life of the Ancient Egyptians during the New Kingdom and after, c.1500-600 BC. Students will learn about politics, religion and the rule of the Pharaohs in Egypt at this time, and also about the wider history of the ancient world as revealed through Egypt’s interaction with other nations.","10","N/A"
"Archaeology Classical Studies and Egyptology","Coptic: the language and lives of Early Christians in Egypt","4269","27/09/2018","14/03/2019","16/01/1900","18.30","240.00","169","William Manley","University of Glasgow- Building will be confirmed by email three days before the start date. Room number will be listed at reception on the day/evening of the class","http://www.gla.ac.uk/coursecatalogue/course/?code=ADED1837E","This course provides a unique opportunity to learn basic skills for reading Coptic - the language of the indigenous Christians of first millennium Egypt - using texts that document the lives of the villagers and monks, as well as passages from the New Testament and apocryphal gospel.","20","N/A"
"Archaeology Classical Studies and Egyptology","More Reading in Ancient Egyptian 2","6826","17/01/2019","21/03/2019","14/01/1900","16.00","125.00","64","William Manley","University of Glasgow- Building will be confirmed by email three days before the start date. Room number will be listed at reception on the day/evening of the class","http://www.gla.ac.uk/coursecatalogue/course/?code=ADED11422","This course is aimed at those who have a basic knowledge of Middle Egyptian hieroglyphs and who wish to continue to develop their reading skills. The course will focus on case study texts which will be read together in class. Some grammar will be covered for revision purposes, but the course is not suitable for complete beginners.","0","N/A"
"Archaeology Classical Studies and Egyptology","More reading in ancient Egyptian","8912","27/09/2018","29/11/2018","14/01/1900","16.00","125.00","64","William  Manley","University of Glasgow- Building will be confirmed by email three days before the start date. Room number will be listed at reception on the day/evening of the class","http://www.gla.ac.uk/coursecatalogue/course/?code=ADED11212","This course is aimed at those who have a basic knowledge of Middle Egyptian hieroglyphs and who wish to continue to develop their reading skills. The course will focus on case study texts which will be read together in class. Some grammar will be covered for revision purposes, but the course is not suitable for complete beginners.","0","N/A"
"Archaeology Classical Studies and Egyptology","Intermediate hieroglyphs","7761","16/01/2019","20/03/2019","11/01/1900","13.00","240.00","64","Angela McDonald","University of Glasgow- Building will be confirmed by email three days before the start date. Room number will be listed at reception on the day/evening of the class","http://www.gla.ac.uk/coursecatalogue/course/?code=ADED2050E","Following on from the courses Ancient Egyptian texts 1A and 1B, this course builds upon students’ knowledge of Middle Egyptian grammar and broadens their reading experience, with a particular focus on literary texts of the Middle Kingdom. We also continue to explore the cultural backdrop of the texts we read, focusing on literary themes shared by our text corpus, particularly order triumphing over chaos.","20","N/A"
"Archaeology Classical Studies and Egyptology","The Vikings in Europe and beyond","4012","24/09/2018","26/11/2018","19/01/1900","21.00","125.00","64","Caroline Paterson","University of Glasgow- Building will be confirmed by email three days before the start date. Room number will be listed at reception on the day/evening of the class","http://www.gla.ac.uk/coursecatalogue/course/?code=ADED1838E","Using historical and archaeological evidence, this course (which can be taken online) follows the Vikings’ movements throughout Europe, the Middle East and across the North Atlantic. Students will examine written sources, artefacts and archaeological sites to better understand how people lived and died during the Viking Age, as well as the legacy of the Vikings.","10","N/A"
